number,answer,level
1000,1*0=0-0;1=0+0⁰;1-0=0⁰;1*0-0=0;1⁰=0⁰;1*0=0+0;1=0⁰-0;1*0=0*0;1=0⁰+0;1*0+0=0;1-0⁰=0;1+0=0⁰;1⁰*0=0;1*0*0=0,easy
1001,1=0*0+1;1-0*0=1;1-0-0=1;1⁰+0=1;1⁰=0+1;1-0+0=1;1=0⁰¹;1=0+0+1;1⁰-0=1;1-0=0+1;1*0⁰=1;1*0=0/1;1*0=0¹;1=0-0+1;1⁰⁰=1;1*0=0*1;1+0*0=1;1+0+0=1;1+0-0=1;1=0⁰*1;1+0=0+1;1=0⁰/1,easy
1002,1*0=0/2;1*0=0²;1+0⁰=2;1=0⁰²;1*0=0*2,easy
1003,1*0=0/3;1*0=0*3,easy
1004,1*0=0/√4;1+0⁰=√4;1*0=0*4;1*0=0/4;1*0=0*√4,easy
1005,1*0=0*5;1*0=0/5,easy
1006,1*0=0/6;1*0=0*6,easy
1007,1*0=0*7;1*0=0/7,easy
1008,1*0=0*8;1*0=0/8,easy
1009,1*0=0/9;1*0=0*9;1*0=0*√9;1*0=0/√9,easy
1010,1=0+1-0;1⁰=1+0;1-0=1+0;1-0=1⁰;1*0¹=0;1+0=1-0;1+0=1⁰;1=0+1⁰;1⁰=1⁰;1*0=1*0;1-0=1-0;1-0-1=0;1=0+1+0;1+0=1+0;1*0*1=0;1*0/1=0;1⁰-1=0;1⁰=1-0;1+0-1=0,easy
1011,1-0=1/1;1⁰/1=1;1+0/1=1;1⁰=1¹;1=0*1+1;1⁰=1*1;1-0=1¹;1*0+1=1;1*0=1-1;1+0¹=1;1=0+1¹;1⁰¹=1;1+0=1/1;1-0¹=1;1-0=1*1;1=0+1/1;1=0+1*1;1-0*1=1;1=0/1+1;1+0=1*1;1-0/1=1;1⁰*1=1;1=0¹+1;1+0=1¹;1+0*1=1;1⁰=1/1,easy
1012,1⁰=1²;1⁰+1=2;1=0+1²;1=0-1+2;1-0=1²;1-0+1=2;1+0=1²;1+0+1=2,easy
1014,1-0+1=√4;1⁰+1=√4;1+0+1=√4;1=0-1+√4,medium
1020,1+0=2⁰;1*0/2=0;1*0²=0;1⁰=2⁰;1-0=2⁰;1*0=2*0;1=0+2⁰;1*0*2=0,easy
1021,1+0=2-1;1-0=2-1;1-0²=1;1-0/2=1;1+0/2=1;1+0*2=1;1⁰=2-1;1=0*2+1;1=0²+1;1=0/2+1;1+0²=1;1-0*2=1;1⁰²=1;1=0+2-1,easy
1022,1-0=2/2;1*0=2-2;1+0=2/2;1⁰*2=2;1=0+2/2;1*0+2=2;1⁰=2/2,easy
1023,1⁰+2=3;1=0-2+3;1-0+2=3;1+0+2=3,easy
1024,1*0+2=√4;1-0=2/√4;1⁰*2=√4;1*0=2-√4;1+0=2/√4;1=0+2/√4;1⁰=2/√4,medium
1029,1⁰+2=√9;1=0-2+√9;1+0+2=√9;1-0+2=√9,medium
1030,1*0=3*0;1*0/3=0;1-0=3⁰;1⁰=3⁰;1+0=3⁰;1*0*3=0;1=0+3⁰,easy
1031,1=0/3+1;1-0/3=1;1+0/3=1;1+0*3=1;1=0*3+1;1-0*3=1,easy
1032,1-0=3-2;1+0=3-2;1⁰=3-2;1=0+3-2,easy
1033,1+0=3/3;1*0=3-3;1*0+3=3;1-0=3/3;1⁰*3=3;1=0+3/3;1⁰=3/3,easy
1034,1+0=3-√4;1-0+3=4;1-0=3-√4;1⁰+3=4;1=0+3-√4;1=0-3+4;1⁰=3-√4;1+0+3=4,easy
1039,1⁰*3=√9;1+0=3/√9;1=0+3/√9;1*0=3-√9;1*0+3=√9;1⁰=3/√9;1-0=3/√9,medium
1040,1*0*4=0;1*0*√4=0;1*0/4=0;1*0=4*0;1⁰=4⁰;1*0/√4=0;1=0+√4⁰;1-0=4⁰;1-0=√4⁰;1⁰=√4⁰;1=0+4⁰;1+0=√4⁰;1+0=4⁰;1*0=√4*0,easy
1041,1+0/4=1;1-0*4=1;1=0+√4-1;1+0/√4=1;1=0/√4+1;1=0*√4+1;1-0*√4=1;1=0*4+1;1+0=√4-1;1⁰=√4-1;1-0=√4-1;1=0/4+1;1-0/√4=1;1+0*4=1;1+0*√4=1;1-0/4=1,easy
1042,1-0=√4/2;1⁰=√4/2;1*0=√4-2;1*0+√4=2;1⁰*√4=2;1=0+√4/2;1+0=√4/2,medium
1043,1+0+√4=3;1-0+√4=3;1⁰=4-3;1+0=4-3;1⁰+√4=3;1=0+4-3;1-0=4-3;1=0-√4+3,easy
1044,1+0=√4/√4;1-0=√4/√4;1*0=4-4;1⁰=√4/√4;1=0+√4/√4;1=0+4/4;1*0=√4-√4;1⁰=4/4;1⁰*√4=√4;1⁰*4=4;1*0+4=4;1*0+√4=√4;1+0=4/4;1-0=4/4,easy
1045,1-0+4=5;1=0-4+5;1⁰+4=5;1+0+4=5,easy
1049,1-0=4-√9;1⁰=4-√9;1⁰+√4=√9;1+0=4-√9;1+0+√4=√9;1-0+√4=√9;1=0+4-√9;1=0-√4+√9,medium
1050,1*0*5=0;1+0=5⁰;1*0=5*0;1-0=5⁰;1⁰=5⁰;1=0+5⁰;1*0/5=0,easy
